Period,available_feb,available_mar
2020-03,0.5489804411152726,0.4780690803162714
2020-04,0.5072825634623388,0.45770191107269764
2020-05,0.4913337236642782,0.4613680789831569
2020-06,0.4905534748231377,0.4516661864976472
2020-07,0.4810674002410139,0.4885735262683433
2020-08,0.5063475246512579,0.45590654361948313
2020-09,0.576316463395115,0.5384215243765805
2020-10,0.5770702254935673,0.5817015331332113
2020-11,0.5864944460450079,0.5807020071065014
2020-12,0.6030458205159184,0.6045978507015115
2021-01,0.6197324684095253,0.6259762145952794
2021-02,0.6164282841863284,0.6241619600381731
